ts,action,error_signature,woo_product_id,woo_id_attribution,title,sku,shopify_product_gid,live_variant_count,tracked_variants,source_stock,live_total_quantity,comparison_basis,live_variants_tracked,difference,manage_stock,retry_occurred,retry_succeeded,classification,rationale,recommended_action,raw_error
2026-08-10T16:35:42Z,INVENTORY_SYNC_FAILED,OTHER,70,explicit_in_ledger,Msmetics Diy Lashes,,gid://shopify/Product/9599851954432,5,5,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,5,,no,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 70,None - superseded by a later successful sync,
2026-08-10T16:35:43Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,70,inferred_from_preceding_ledger_entry,Msmetics Diy Lashes,,gid://shopify/Product/9599851954432,5,5,,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,5,,no,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:35:43Z,INVENTORY_SYNC_FAILED,OTHER,22,explicit_in_ledger,Tehila Rosy Cheek Blush Palette,,gid://shopify/Product/9599852085504,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 22,None - superseded by a later successful sync,
2026-08-10T16:35:44Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,22,inferred_from_preceding_ledger_entry,Tehila Rosy Cheek Blush Palette,,gid://shopify/Product/9599852085504,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}, {'message': 'InventoryQuantityInput must include"
2026-08-10T16:35:44Z,INVENTORY_SYNC_FAILED,OTHER,1721,explicit_in_ledger,Ezanic Azelaic Acid Gel W/W 15G,202-1-item,gid://shopify/Product/9599852216576,2,2,1,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,2,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 1721,None - superseded by a later successful sync,
2026-08-10T16:35:45Z,INVENTORY_SET_FAILED,MISSING_changeFromQuantity,2371,inferred_from_preceding_ledger_entry,Telescopic Makeup Chair Foldable,98-1-item,NOT_LIVE,,,0,,NOT_COMPARABLE_variable_product_parent_vs_variant_sum,,,yes,NO,N/A,B,Malformed inventorySetQuantities call (INVALID_FIELD_ARGUMENTS); the mutation shape was corrected and inventory later set successfully,None - importer defect already fixed; verify live quantity only,"[{'message': 'InventoryQuantityInput must include the following argument: changeFromQuantity.', 'locations': [{'line': 3, 'column': 7}, {'line': 2, 'column': 14}], 'extensions': {'code': 'INVALID_FIELD_ARGUMENTS'}, 'path': ['inventorySetQuantities']}]"
2026-08-10T16:35:45Z,INVENTORY_SYNC_FAILED,OTHER,333,explicit_in_ledger,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,YES,YES,B,A later INVENTORY_SYNCED entry exists for woo 333,None - superseded by a later successful sync,
2026-08-10T16:51:47Z,INVENTORY_SET_FAILED,LOCATION_NOT_FOUND,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,E,"Shopify rejected the location ID sent by the importer. The store has exactly one location, so this is a wrong/stale ID, not a missing location",Confirm the importer resolves the location ID at runtime; no data repair implied,"[{'field': ['input', 'quantities', '0', 'locationId'], 'message': 'The specified location could not be found.'}]"
2026-08-10T16:52:42Z,INVENTORY_SET_FAILED,LOCATION_NOT_FOUND,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,E,"Shopify rejected the location ID sent by the importer. The store has exactly one location, so this is a wrong/stale ID, not a missing location",Confirm the importer resolves the location ID at runtime; no data repair implied,"[{'field': ['input', 'quantities', '0', 'locationId'], 'message': 'The specified location could not be found.'}]"
2026-08-10T16:52:44Z,INVENTORY_SET_FAILED,THROTTLED,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,A,Transient THROTTLED - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval","[{'message': 'Throttled', 'extensions': {'code': 'THROTTLED'}}]"
2026-08-10T16:52:44Z,INVENTORY_SET_FAILED,UPSTREAM_TIMEOUT,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,A,Transient UPSTREAM_TIMEOUT - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval",[{'message': 'upstream timeout'}]
2026-08-10T16:53:15Z,INVENTORY_SET_FAILED,LOCATION_NOT_FOUND,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,E,"Shopify rejected the location ID sent by the importer. The store has exactly one location, so this is a wrong/stale ID, not a missing location",Confirm the importer resolves the location ID at runtime; no data repair implied,"[{'field': ['input', 'quantities', '0', 'locationId'], 'message': 'The specified location could not be found.'}]"
2026-08-10T16:53:17Z,INVENTORY_SET_FAILED,THROTTLED,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,A,Transient THROTTLED - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval","[{'message': 'Throttled', 'extensions': {'code': 'THROTTLED'}}]"
2026-08-10T16:53:17Z,INVENTORY_SET_FAILED,UPSTREAM_TIMEOUT,333,inferred_from_preceding_ledger_entry,Dr Jart Hyaluronic Face Mask,242-1-item,gid://shopify/Product/9599852314880,1,1,,0,simple_product_1:1,1,,yes,NO,N/A,A,Transient UPSTREAM_TIMEOUT - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval",[{'message': 'upstream timeout'}]
2026-08-10T23:27:13Z,INVENTORY_SET_FAILED,LOCATION_NOT_FOUND,113,inferred_from_preceding_ledger_entry,Classic Makeup Lip Gloss clear,,gid://shopify/Product/9600655524096,1,0,3,0,simple_product_1:1,0,-3,yes,NO,N/A,E,"Shopify rejected the location ID sent by the importer. The store has exactly one location, so this is a wrong/stale ID, not a missing location",Confirm the importer resolves the location ID at runtime; no data repair implied,"[{'field': ['input', 'quantities', '0', 'locationId'], 'message': 'The specified location could not be found.'}]"
2026-08-10T23:27:15Z,INVENTORY_SET_FAILED,THROTTLED,113,inferred_from_preceding_ledger_entry,Classic Makeup Lip Gloss clear,,gid://shopify/Product/9600655524096,1,0,3,0,simple_product_1:1,0,-3,yes,NO,N/A,A,Transient THROTTLED - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval","[{'message': 'Throttled', 'extensions': {'code': 'THROTTLED'}}]"
2026-08-10T23:27:15Z,INVENTORY_SET_FAILED,UPSTREAM_TIMEOUT,113,inferred_from_preceding_ledger_entry,Classic Makeup Lip Gloss clear,,gid://shopify/Product/9600655524096,1,0,3,0,simple_product_1:1,0,-3,yes,NO,N/A,A,Transient UPSTREAM_TIMEOUT - deterministically safe to retry once live state is confirmed,"Re-run inventory sync for this product only, after approval",[{'message': 'upstream timeout'}]
